Module	Section	Sample Name	Source
Bowtie 2 / HiSAT2	all_sections	PSC-0095-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0095-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0149-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0149-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0202-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0202-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0235-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0235-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0177-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0177-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0096-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0096-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0118-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0118-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0217-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0217-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0085-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0085-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0141-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0141-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0206-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0206-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0231-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0231-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0093-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0093-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0105-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0105-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0150-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0150-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0156-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0156-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0209-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0209-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0119-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0119-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0099-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0099-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0090-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0090-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0219-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0219-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0132-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0132-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0174-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0174-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0230-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0230-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0087-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0087-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0203-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0203-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0198-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0198-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0228-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0228-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0187-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0187-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0190-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0190-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0188-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0188-hisat.out
Bowtie 2 / HiSAT2	all_sections	PSC-0186-hisat	/home/shared/8TB_HDD_02/graceac9/GitHub/paper-pycno-sswd-2021-2022/analyses/20-hisat2/2022/PSC-0186-hisat.out
